# Program:featureCounts v2.0.8; Command:"featureCounts" "-p" "-a" "data/sacCer3.ensGene.gtf" "-o" "data/sacCer.featureCounts.tsv" "bam/WT_C_1.bam" "bam/WT_C_2.bam" "bam/WT_C_3.bam" "bam/WT_E_1.bam" "bam/WT_E_2.bam" "bam/WT_E_3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/WT_C_1.bam	bam/WT_C_2.bam	bam/WT_C_3.bam	bam/WT_E_1.bam	bam/WT_E_2.bam	bam/WT_E_3.bam
YGL153W	chrVII	216273	217298	+	1026	380	327	460	470	603	822
YGL152C	chrVII	216692	217369	-	678	0	1	2	0	2	2
YGL151W	chrVII	217524	220922	+	3399	903	954	976	1058	1293	1227
YGL150C	chrVII	221104	225573	-	4470	972	867	1249	1699	1807	1669
YGL149W	chrVII	225572	225877	+	306	20	19	40	14	23	29
YGL148W	chrVII	226399	227529	+	1131	9701	7753	9054	3292	2680	3275
YGL147C	chrVII	227754	228329	-	576	22142	25218	23698	3730	1439	4071
YGL146C	chrVII	228751	229686	-	936	35	28	83	115	143	211
YGL145W	chrVII	230243	232348	+	2106	897	763	962	931	738	789
YGL144C	chrVII	232450	234507	-	2058	325	314	409	741	676	428
YGL143C	chrVII	234717	235958	-	1242	806	902	744	3038	2332	1314
YGL142C	chrVII	236269	238119	-	1851	839	986	789	849	1029	825
YGL141W	chrVII	238353	241085	+	2733	633	677	702	2044	2253	2069
YGL140C	chrVII	241353	245012	-	3660	862	699	878	921	929	859
YGL139W	chrVII	245716	248124	+	2409	621	600	677	397	464	406
YGL138C	chrVII	248494	249531	-	1038	0	4	2	0	0	0
YGL137W	chrVII;chrVII	249869;250087	249886;252738	+;+	2670	3155	2841	3798	4014	3272	3728
YGL136C	chrVII	252897	253859	-	963	739	689	749	1131	1331	1213
YGL135W	chrVII	254641	255294	+	654	17052	17778	17752	7040	3349	5716
YGL134W	chrVII	255663	256964	+	1302	622	580	747	1906	999	1061
YGL133W	chrVII	257707	261501	+	3795	577	526	570	1279	1378	1085
YGL132W	chrVII	261580	261915	+	336	8	6	14	12	26	14
YGL131C	chrVII	261648	265859	-	4212	277	208	227	500	321	315
YGL130W	chrVII	266145	267524	+	1380	1275	978	1247	1530	1486	1508
YGL129C	chrVII	267723	269075	-	1353	1192	838	1082	2662	2654	1536
YGL128C	chrVII	269293	270144	-	852	192	195	266	383	480	417
YGL127C	chrVII	270392	270775	-	384	299	334	442	690	1040	708
YGL126W	chrVII	270997	272139	+	1143	912	1167	1373	3397	3627	2305
YGL125W	chrVII	272520	274322	+	1803	1201	992	658	500	493	560
YGL124C	chrVII	274780	276714	-	1935	680	786	621	1270	1205	1098
YGL123W	chrVII	277617	278381	+	765	30433	31320	30746	10074	4906	9811
YGL123C-A	chrVII	277634	277864	-	231	0	0	0	0	0	0
YGL122C	chrVII	278946	280523	-	1578	1333	998	1470	2977	2249	2246
YGL121C	chrVII	280777	281157	-	381	409	367	426	11658	9742	8972
YGL120C	chrVII	281634	283937	-	2304	1657	995	1161	949	185	259
YGL119W	chrVII	284442	285947	+	1506	898	997	979	1772	1486	1496
tW(CCA)G1	chrVII;chrVII	287350;287420	287385;287455	-;-	72	5	2	6	3	4	4
YGL118C	chrVII	288014	288451	-	438	55	48	23	22	23	10
YGL117W	chrVII	288512	289309	+	798	6635	7827	4330	2545	1586	1697
YGL116W	chrVII	289809	291641	+	1833	929	674	655	386	605	704
YGL115W	chrVII	292033	293001	+	969	2882	2804	2926	2470	2890	2618
YGL114W	chrVII	293460	295637	+	2178	1349	1090	983	1036	1211	1313
YGL113W	chrVII	295932	297938	+	2007	514	497	715	924	670	746
YGL112C	chrVII	298178	299728	-	1551	917	723	1225	1021	908	1044
YGL111W	chrVII	299978	301369	+	1392	1458	1156	1214	1048	518	481
YGL110C	chrVII	301537	303411	-	1875	795	818	1165	1440	1267	1578
YGL109W	chrVII	303513	303836	+	324	100	138	86	161	207	167
YGL108C	chrVII	303649	304071	-	423	420	459	366	721	752	727
YGL107C	chrVII	304333	306273	-	1941	785	634	768	1338	1403	912
YGL106W	chrVII	306560	307009	+	450	3376	3480	3554	3104	3094	3581
YGL105W	chrVII	307437	308567	+	1131	6447	4447	4977	4487	4522	4754
YGL104C	chrVII	308713	310173	-	1461	581	546	574	1582	2861	3240
YGL103W	chrVII;chrVII	310967;311527	311015;311927	+;+	450	449	483	367	255	143	200
YGL102C	chrVII	311505	311933	-	429	175	178	185	81	29	73
YGL101W	chrVII	312193	312840	+	648	1595	1924	1368	718	676	588
YGL100W	chrVII	313234	314283	+	1050	1826	1271	1456	1896	2048	1954
YGL099W	chrVII	314631	316553	+	1923	819	685	977	546	383	415
snR82	chrVII	316788	317055	+	268	45	56	144	54	34	70
YGL098W	chrVII	317342	318079	+	738	468	378	489	642	644	664
tH(GUG)G2	chrVII	319781	319852	+	72	0	7	8	0	0	0
YGL097W	chrVII	321782	323230	+	1449	2607	2609	2657	1807	1606	2283
YGL096W	chrVII	325331	326161	+	831	564	656	294	2526	1734	876
tE(UUC)G1	chrVII	328583	328654	+	72	96	115	72	8	11	14
YGL095C	chrVII	328874	330607	-	1734	1367	1275	1601	2314	2481	2662
YGL094C	chrVII	331118	334465	-	3348	886	670	734	1019	956	761
YGL093W	chrVII	334886	337639	+	2754	649	520	694	1002	1320	1105
YGL092W	chrVII	337906	341859	+	3954	1086	1207	1319	1132	934	890
YGL091C	chrVII	342056	343042	-	987	1096	1403	1384	2327	2334	1681
YGL090W	chrVII	343319	344584	+	1266	229	172	249	443	372	494
YGL089C	chrVII	344791	345153	-	363	76	47	68	93	148	106
YGL088W	chrVII	345836	346201	+	366	1	0	2	1	0	0
snR10	chrVII	345986	346230	+	245	8	9	14	4	7	13
YGL087C	chrVII;chrVII	346406;346894	346808;346904	-;-	414	1246	1282	1318	2675	2466	2614
YGL086W	chrVII	347119	349368	+	2250	924	930	1134	799	798	859
YGL085W	chrVII	349616	350440	+	825	665	722	603	965	982	941
YGL084C	chrVII	350616	352298	-	1683	1026	967	1359	1471	1467	1651
YGL083W	chrVII	353058	355472	+	2415	487	394	563	534	556	619
YGL082W	chrVII	355827	356972	+	1146	1501	1561	1983	1429	1694	2101
YGL081W	chrVII	357377	358339	+	963	23	20	51	116	277	350
YGL080W	chrVII	358636	359028	+	393	1206	1277	1820	1561	1966	1851
YGL079W	chrVII	359444	360100	+	657	567	438	476	590	607	625
YGL078C	chrVII	360288	361859	-	1572	4685	3942	3457	2103	281	592
YGL077C	chrVII	362225	363916	-	1692	4925	4162	3730	1345	1061	974
YGL076C	chrVII;chrVII;chrVII	364335;365433;365986	364964;365526;365996	-;-;-	735	9992	9293	10820	3345	1844	3085
snR39	chrVII	365163	365251	-	89	50	40	65	50	14	16
snR39B	chrVII	366374	366469	-	96	19	20	29	8	4	3
YGL075C	chrVII	366925	368088	-	1164	204	188	325	211	241	246
YGL074C	chrVII	368596	368922	-	327	8	7	11	28	16	11
YGL073W	chrVII	368753	371254	+	2502	864	620	889	1600	1460	1536
YGL072C	chrVII	371003	371362	-	360	1	7	3	3	9	0
YGL071W	chrVII	372012	374084	+	2073	760	501	664	759	556	687
YGL070C	chrVII	374459	374827	-	369	1544	1816	1441	1161	921	1155
YGL069C	chrVII	375050	375514	-	465	1	0	0	0	3	1
YGL068W	chrVII	375087	375671	+	585	647	833	678	1520	1503	947
YGL067W	chrVII	376101	377255	+	1155	790	596	736	939	947	937
YGL066W	chrVII	377609	379582	+	1974	707	495	759	663	631	953
YGL065C	chrVII	379760	381271	-	1512	504	371	470	279	425	362
YGL064C	chrVII	381523	383208	-	1686	392	297	401	574	438	504
YGL063W	chrVII	383654	384766	+	1113	116	121	173	154	176	186
YGL063C-A	chrVII	384502	384651	-	150	0	0	0	0	0	0
YGL062W	chrVII	385196	388732	+	3537	1656	1395	1954	4893	5954	3985
YGL061C	chrVII	388968	389711	-	744	563	788	588	398	525	351
YGL060W	chrVII	390065	391990	+	1926	448	350	504	492	509	459
YGL059W	chrVII	392223	393698	+	1476	1608	1638	1938	1442	1905	2115
YGL058W	chrVII	393986	394504	+	519	1740	1906	1972	1672	1259	1516
YGL057C	chrVII	394966	395829	-	864	276	193	238	433	399	340
YGL056C	chrVII	396035	397618	-	1584	694	565	784	1883	945	1144
YGL055W	chrVII	398628	400160	+	1533	6870	6997	3517	69631	54267	40689
YGL054C	chrVII	400871	401287	-	417	4297	4918	4598	2326	3033	3547
tE(UUC)G2	chrVII	401527	401598	-	72	1	0	2	2	2	1
YGL053W	chrVII	402589	403302	+	714	599	587	751	1877	3331	2561
YGL052W	chrVII	403437	403742	+	306	71	47	88	103	272	190
YGL051W	chrVII	403687	404391	+	705	65	78	67	110	189	163
tR(UCU)G1	chrVII	405470	405541	+	72	6	6	2	1	5	2
YGL050W	chrVII	405776	406597	+	822	890	854	989	813	846	711
YGL049C	chrVII	406860	409604	-	2745	932	796	935	1049	1485	1653
YGL048C	chrVII	410069	411286	-	1218	6414	6198	6801	13753	12367	11905
YGL047W	chrVII	411552	412160	+	609	731	970	873	2464	2647	2356
tV(AAC)G1	chrVII	412294	412367	-	74	5	3	5	4	19	11
YGL045W	chrVII	414102	415730	+	1629	520	325	543	2699	1635	1474
YGL044C	chrVII	416146	417036	-	891	916	941	1068	956	1138	1255
YGL043W	chrVII	417483	418412	+	930	1069	845	872	1121	926	1071
YGL042C	chrVII	418288	418593	-	306	213	278	215	218	282	195
YGL041C-B	chrVII	418704	418886	-	183	1	6	5	3	5	1
YGL041W-A	chrVII	418825	419289	+	465	265	294	306	351	373	408
YGL041C	chrVII	419022	419225	-	204	0	0	0	0	0	0
YGL040C	chrVII	419527	420555	-	1029	2879	3203	3185	6601	5957	4504
tL(CAA)G2	chrVII;chrVII	423092;423162	423129;423205	+;+	82	4	4	4	1	2	4
YGL039W	chrVII	423961	425007	+	1047	473	331	534	4293	3036	2003
YGL038C	chrVII	425362	426804	-	1443	915	644	2009	981	1450	1988
YGL037C	chrVII	427297	427947	-	651	7606	9382	13269	27720	36215	40498
YGL036W	chrVII	428601	431330	+	2730	425	418	802	719	1488	1595
YGL035C	chrVII	431548	433062	-	1515	718	511	1206	310	710	1089
YGL034C	chrVII	433214	433579	-	366	2	7	14	12	7	6
YGL033W	chrVII;chrVII;chrVII	435625;435750;436375	435679;436312;436401	+;+;+	645	25	33	22	22	38	45
YGL032C	chrVII	436570	436833	-	264	405	329	499	154	250	401
YGL031C	chrVII	437467	437934	-	468	24173	27395	24168	9294	5918	9760
YGL030W	chrVII;chrVII	439091;439324	439093;439638	+;+	318	17416	17909	17127	6366	3268	5626
YGL029W	chrVII	440063	440425	+	363	1605	1784	1543	733	218	366
tF(GAA)G	chrVII;chrVII	440716;440771	440751;440807	-;-	73	3	2	3	0	0	3
YGL028C	chrVII	441281	442909	-	1629	2948	2124	1701	1892	2026	2935
YGL027C	chrVII	443642	446143	-	2502	1472	1210	1748	1348	1227	1166
YGL026C	chrVII	446412	448535	-	2124	3467	3479	4337	3017	2624	3305
YGL025C	chrVII	448764	449957	-	1194	246	247	313	324	591	545
YGL024W	chrVII	449788	450123	+	336	13	10	15	13	24	12
YGL023C	chrVII	450197	452104	-	1908	814	711	880	748	1091	1237
YGL022W	chrVII	452404	454560	+	2157	2427	2466	3399	2241	2760	2948
YGL021W	chrVII	454785	457067	+	2283	1520	1265	840	554	822	1195
YGL020C	chrVII	457163	457870	-	708	2152	2425	2447	1416	1677	2070
YGL019W	chrVII	458156	458992	+	837	2149	1795	1910	2096	2240	2497
YGL018C	chrVII	459110	459664	-	555	217	136	176	631	804	541
YGL017W	chrVII	459854	461365	+	1512	539	489	673	749	748	819
YGL016W	chrVII	461666	464911	+	3246	482	559	647	380	342	378
YGL015C	chrVII	465043	465435	-	393	5	12	1	10	15	5
YGL014W	chrVII	466141	468807	+	2667	1046	1040	1059	944	841	817
YGL014C-A	chrVII	466237	466398	-	162	0	0	0	0	0	0
YGL013C	chrVII	469092	472298	-	3207	584	383	498	958	950	735
YGL012W	chrVII	472855	474276	+	1422	4026	4165	6991	3267	3039	6718
YGL011C	chrVII	474489	475247	-	759	2740	1878	2477	5592	7060	5786
YGL010W	chrVII	475545	476069	+	525	325	372	623	537	1349	1357
YGL009C	chrVII	476313	478652	-	2340	11734	11038	9307	7132	4605	1877
YGL008C	chrVII	479910	482666	-	2757	23687	18173	22950	18018	4987	9683
YGL007C-A	chrVII	482941	483027	-	87	9	17	8	5	9	10
YGL007W	chrVII	483260	483637	+	378	65	68	24	88	38	27
YGL006W-A	chrVII	485423	485533	+	111	9	4	10	7	11	17
YGL006W	chrVII	485921	489442	+	3522	1065	1200	2101	3428	6077	4224
YGL005C	chrVII	489708	490547	-	840	1053	1262	1297	1331	1385	1435
YGL004C	chrVII	490703	491956	-	1254	569	442	736	963	1335	1565
YGL003C	chrVII	492474	494174	-	1701	523	411	780	763	914	1049
YGL002W	chrVII	494517	495167	+	651	1145	1153	1613	1581	1914	2027
YGL001C	chrVII	495453	496502	-	1050	3895	4727	2793	6526	5357	4636
YGR001C	chrVII;chrVII;chrVII	497133;497459;498000	497365;497937;498034	-;-;-	747	1140	1020	1068	820	863	849
YGR002C	chrVII	498476	499906	-	1431	558	557	675	807	933	879
YGR003W	chrVII	500132	502366	+	2235	414	313	382	465	302	277
YGR004W	chrVII	502938	504326	+	1389	409	277	348	417	592	524
YGR005C	chrVII	504657	505859	-	1203	1862	1667	1795	2848	2952	2374
YGR006W	chrVII	506070	506825	+	756	133	78	158	177	212	263
YGR007W	chrVII	506969	507940	+	972	1247	882	1219	1797	1538	1313
YGR008C	chrVII	508110	508364	-	255	3556	4545	5930	19915	23005	21787
YGR009C	chrVII	509047	511002	-	1956	1217	1067	1407	2395	2403	2659
YGR010W	chrVII	511545	512732	+	1188	670	593	574	948	803	882
YGR011W	chrVII	512497	512823	+	327	83	86	82	137	183	110
YGR012W	chrVII	513159	514340	+	1182	706	660	680	827	1090	902
YGR013W	chrVII	514554	516416	+	1863	693	444	641	998	959	986
YGR014W	chrVII	516943	520863	+	3921	596	537	795	380	433	357
YGR015C	chrVII	521090	522076	-	987	315	276	342	322	461	486
YGR016W	chrVII	522261	522833	+	573	199	182	168	162	162	178
YGR017W	chrVII	523787	524680	+	894	1508	1428	1838	1801	1234	1532
YGR018C	chrVII	524365	524694	-	330	25	13	26	25	27	21
YGR019W	chrVII	525229	526644	+	1416	1831	1670	2301	7081	7701	6606
YGR020C	chrVII	526973	527329	-	357	5725	5998	5700	4815	4161	4956
YGR021W	chrVII	527632	528504	+	873	1221	1360	1246	4301	4277	2815
YGR022C	chrVII	529257	529586	-	330	2	0	0	0	1	0
YGR023W	chrVII	529264	530919	+	1656	274	226	352	183	151	199
tD(GUC)G1	chrVII	531610	531681	+	72	13	7	6	0	4	1
YGR024C	chrVII	531883	532596	-	714	1530	1727	1952	1322	1125	1484
YGR025W	chrVII	532639	532941	+	303	172	155	290	135	142	266
YGR026W	chrVII	532985	533821	+	837	2238	1984	3375	1568	2557	3722
YGR027C	chrVII	534132	534458	-	327	13311	13574	13518	5995	4459	6240
YGR027W-A	chrVII	536057	537379	+	1323	0	0	0	0	0	0
YGR027W-B	chrVII	536057	541325	+	5269	21	37	71	30	28	64
tE(UUC)G3	chrVII	541850	541921	+	72	0	7	4	1	0	1
YGR028W	chrVII	542203	543291	+	1089	1206	1439	1346	4357	4041	2501
YGR029W	chrVII;chrVII	543553;543722	543638;544205	+;+	570	2290	2432	2329	2870	3164	2985
tD(GUC)G2	chrVII	544577	544648	-	72	6	5	10	7	6	9
snR46	chrVII	545370	545566	+	197	95	89	169	31	17	35
YGR030C	chrVII	545681	546157	-	477	605	533	737	572	393	394
YGR031W	chrVII	546441	547469	+	1029	288	376	528	800	711	822
YGR031C-A	chrVII	546809	547300	-	492	0	0	0	0	0	0
YGR032W	chrVII	548264	553951	+	5688	767	729	633	2668	3583	1502
YGR033C	chrVII	554248	554967	-	720	1932	1954	2234	2159	2338	2543
YGR034W	chrVII;chrVII	555812;556308	555830;556672	+;+	384	19776	22073	20459	7450	4095	7415
YGR035C	chrVII	557072	557422	-	351	33	58	347	16	99	356
YGR035W-A	chrVII	557565	557786	+	222	194	199	210	678	583	326
YGR036C	chrVII	558149	558868	-	720	361	301	496	1562	854	732
YGR037C	chrVII	559731	559994	-	264	3225	2987	3740	9727	8779	6827
YGR038W	chrVII	560682	561350	+	669	689	607	871	688	797	712
tS(AGA)G	chrVII	561662	561743	-	82	0	1	1	0	0	0
YGR038C-B	chrVII	562199	567467	-	5269	17	21	15	20	19	21
YGR038C-A	chrVII	566145	567467	-	1323	0	0	0	0	0	0
YGR039W	chrVII	574888	575199	+	312	89	135	80	87	112	29
YGR040W	chrVII	575398	576504	+	1107	534	376	515	395	263	217
YGR041W	chrVII	577487	579130	+	1644	718	585	586	522	784	946
YGR042W	chrVII	579476	580291	+	816	634	794	842	1254	1387	1271
YGR043C	chrVII	580435	581436	-	1002	212	247	756	26058	28681	40935
YGR044C	chrVII	582990	583892	-	903	2286	2019	1524	2433	3437	3629
YGR045C	chrVII	583934	584296	-	363	40	27	51	63	84	70
YGR046W	chrVII	584895	586052	+	1158	1075	1034	1525	1498	1900	2290
YGR047C	chrVII	586392	589469	-	3078	619	554	808	734	631	719
YGR048W	chrVII	589826	590911	+	1086	1502	1677	2169	4485	4276	3816
YGR049W	chrVII	591314	591877	+	564	951	740	437	2605	2060	1060
YGR050C	chrVII	592086	592442	-	357	182	201	222	106	128	149
YGR051C	chrVII	592906	593229	-	324	148	183	120	222	248	139
YGR052W	chrVII	593596	594705	+	1110	1390	1259	1814	2336	913	1667
YGR053C	chrVII	594986	595837	-	852	187	265	368	773	1394	1122
YGR054W	chrVII	596693	598621	+	1929	1651	1085	1232	1635	1014	1087
YGR055W	chrVII	599417	601141	+	1725	2104	1637	1706	546	446	747
YGR056W	chrVII	601661	604447	+	2787	509	473	584	716	755	692
YGR057C	chrVII	604773	605501	-	729	787	775	710	1182	827	842
YGR058W	chrVII	606136	607143	+	1008	360	245	371	534	449	438
YGR059W	chrVII	607563	609101	+	1539	21	15	17	18	44	90
snR48	chrVII	609584	609696	+	113	21	9	6	5	8	21
YGR060W	chrVII	610564	611493	+	930	8621	5980	3597	13618	10341	10957
YGR061C	chrVII	611889	615965	-	4077	2208	2352	1923	1068	744	750
YGR062C	chrVII	616328	617278	-	951	681	669	806	1531	1556	1192
YGR063C	chrVII	617516	617824	-	309	324	379	309	373	406	338
YGR064W	chrVII	617621	617989	+	369	7	9	4	7	3	4
YGR065C	chrVII	618077	619858	-	1782	1817	1346	1329	717	387	525
YGR066C	chrVII	620921	621799	-	879	81	69	117	330	548	441
YGR067C	chrVII	622372	624786	-	2415	29	20	62	70	171	275
YGR068C	chrVII	625324	627084	-	1761	110	85	235	84	176	373
YGR068W-A	chrVII	626294	626389	+	96	0	0	0	0	0	0
YGR069W	chrVII	627083	627418	+	336	28	37	21	23	35	28
YGR070W	chrVII	627806	631273	+	3468	450	410	486	1165	2437	2814
YGR071C	chrVII	631481	634063	-	2583	548	552	536	491	498	609
YGR072W	chrVII	634304	635467	+	1164	1040	1102	1223	1137	721	892
YGR073C	chrVII	635615	635986	-	372	2	2	2	0	1	2
YGR074W	chrVII	635712	636152	+	441	271	266	237	164	183	163
YGR075C	chrVII	636147	636875	-	729	682	767	606	597	575	597
YGR076C	chrVII	637104	637577	-	474	1100	1201	1099	2361	2734	1776
YGR077C	chrVII	637744	639513	-	1770	498	468	628	819	1093	1078
YGR078C	chrVII	639772	640371	-	600	586	434	492	505	544	622
YGR079W	chrVII	640720	641832	+	1113	454	281	299	636	285	288
YGR080W	chrVII	642010	643008	+	999	1165	996	1090	2329	3130	3037
YGR081C	chrVII	643148	643780	-	633	1299	1190	866	660	250	313
YGR082W	chrVII	644044	644595	+	552	1739	1398	1544	2079	2352	1956
YGR083C	chrVII	644860	646815	-	1956	1705	1513	1516	1388	956	1191
YGR084C	chrVII	647123	648142	-	1020	1721	1853	1591	4022	3370	2431
YGR085C	chrVII	648383	648907	-	525	13684	13304	11681	5008	2065	3322
YGR086C	chrVII	649598	650617	-	1020	5969	4290	6295	7215	14453	12186
YGR087C	chrVII	651290	652981	-	1692	21	10	23	279	168	148
YGR088W	chrVII	654634	656322	+	1689	603	620	1602	5297	15951	21312
YGR089W	chrVII	656960	659770	+	2811	965	780	898	967	860	723
tT(UGU)G1	chrVII	661749	661820	+	72	2	1	1	0	1	0
YGR090W	chrVII	662358	666071	+	3714	1630	1638	1662	1080	499	622
YGR091W	chrVII	666341	667825	+	1485	449	363	415	614	477	474
YGR092W	chrVII	668189	669907	+	1719	825	662	794	664	1360	1125
YGR093W	chrVII	670388	671911	+	1524	1041	1019	1021	893	602	832
YGR094W	chrVII	672186	675500	+	3315	7748	7816	9355	4125	2893	2888
YGR095C	chrVII	675671	676342	-	672	1419	1335	1323	1335	644	746
YGR096W	chrVII	676621	677565	+	945	345	248	274	307	252	236
YGR097W	chrVII	678695	682135	+	3441	1065	845	844	1611	1453	1335
YGR098C	chrVII	682566	687458	-	4893	570	561	517	425	440	374
YGR099W	chrVII	687899	689965	+	2067	674	697	541	516	667	544
YGR100W	chrVII	690245	693097	+	2853	1101	973	1189	2257	2673	2532
YGR101W	chrVII	693363	694403	+	1041	940	1200	1189	3086	3186	1979
YGR102C	chrVII	694584	695135	-	552	370	298	397	805	1639	1652
YGR103W	chrVII	695417	697234	+	1818	5503	5257	6237	1253	266	468
YGR104C	chrVII	697445	698368	-	924	624	470	457	607	707	618
YGR105W	chrVII	698599	698832	+	234	1859	2173	1797	1533	1528	1650
YGR106C	chrVII	698989	699786	-	798	6193	6547	7430	3308	3053	4170
tL(GAG)G	chrVII	700675	700756	+	82	1	1	2	1	0	4
tK(UUU)G2	chrVII;chrVII	700953;701012	700988;701048	-;-	73	4	4	2	0	2	2
YGR107W	chrVII	702667	703116	+	450	28	43	25	10	10	38
YGR108W	chrVII	703636	705051	+	1416	2981	2758	2565	466	1025	1713
YGR109C	chrVII	705359	706501	-	1143	121	71	50	68	81	68
tC(GCA)G	chrVII	707108	707179	-	72	0	0	2	0	0	0
YGR109W-A	chrVII	707610	708482	+	873	0	0	0	0	0	0
YGR109W-B	chrVII	707610	712254	+	4645	133	88	159	157	235	258
YGR110W	chrVII	713709	715046	+	1338	75	66	276	404	593	565
YGR111W	chrVII	715828	717030	+	1203	1086	1034	1327	1989	2499	3692
YGR112W	chrVII	717358	718527	+	1170	815	795	865	2413	2324	1605
YGR113W	chrVII	718893	719924	+	1032	744	625	946	664	690	829
YGR114C	chrVII	720265	720654	-	390	0	0	0	0	0	0
YGR115C	chrVII	720372	721151	-	780	0	0	0	0	0	0
YGR116W	chrVII	720409	724764	+	4356	1547	1488	1770	1768	1791	1756
YGR117C	chrVII	725049	726479	-	1431	830	827	1338	709	808	1463
YGR118W	chrVII;chrVII	726974;727358	727038;727730	+;+	438	19206	21365	19792	8750	5814	10063
YGR119C	chrVII	728046	729671	-	1626	2641	2369	2399	2330	2174	2462
YGR120C	chrVII	730033	730821	-	789	656	592	454	711	740	568
tN(GUU)G	chrVII	731137	731210	+	74	1	3	1	1	4	0
YGR121C	chrVII	731449	732927	-	1479	3347	3090	1065	1580	2191	868
YGR121W-A	chrVII	733412	733627	+	216	20	26	18	6	9	6
YGR122W	chrVII	733935	735143	+	1209	399	292	953	243	295	468
YGR122C-A	chrVII	735630	735758	-	129	24	34	66	16	36	79
tR(UCU)G3	chrVII	736340	736411	+	72	3	7	5	5	2	4
YGR123C	chrVII	736662	738203	-	1542	818	765	758	371	104	136
tI(AAU)G	chrVII	739122	739195	+	74	1	6	8	5	1	6
YGR124W	chrVII	739944	741662	+	1719	13478	11973	14042	8344	7093	7797
YGR125W	chrVII	742325	745435	+	3111	1091	1072	1047	894	1125	1045
YGR126W	chrVII	745835	746527	+	693	103	62	78	299	226	212
YGR127W	chrVII	746798	747736	+	939	382	337	707	1451	2182	3373
YGR128C	chrVII	747950	750091	-	2142	1684	1636	1491	796	127	242
YGR129W	chrVII	750400	751047	+	648	550	561	377	591	544	681
YGR130C	chrVII	751394	753844	-	2451	1730	1496	2568	2136	4781	6208
YGR131W	chrVII	754726	755250	+	525	242	371	157	209	626	427
YGR132C	chrVII	755589	756452	-	864	3803	4272	4438	9742	8679	8079
YGR133W	chrVII	756896	757447	+	552	274	174	250	372	604	492
YGR134W	chrVII	757770	761138	+	3369	494	436	433	514	465	447
YGR135W	chrVII	761392	762168	+	777	6672	7522	7469	12648	11968	11399
YGR136W	chrVII	762428	763153	+	726	1173	932	900	1976	2401	2113
YGR137W	chrVII	762888	763262	+	375	219	207	181	379	659	389
YGR138C	chrVII	763762	765606	-	1845	3661	3453	2787	9200	855	731
YGR139W	chrVII	765726	766064	+	339	37	39	20	78	17	14
YGR140W	chrVII	767429	770299	+	2871	603	498	512	541	259	139
YGR141W	chrVII	770569	771972	+	1404	609	741	1030	1776	2465	2880
YGR142W	chrVII	772454	773686	+	1233	1608	1753	4014	2433	6498	4383
tA(AGC)G	chrVII	774349	774421	+	73	1	0	0	0	0	0
YGR143W	chrVII	775193	777508	+	2316	843	715	1356	1409	1761	2716
tG(UCC)G	chrVII	779616	779687	+	72	2	2	1	2	0	0
YGR144W	chrVII	780399	781379	+	981	89	130	116	474	779	598
YGR145W	chrVII	781767	783890	+	2124	1351	1107	1207	384	150	153
YGR146C	chrVII	784223	784858	-	636	581	479	723	1310	1531	1304
YGR146C-A	chrVII	785276	785437	-	162	13	22	26	41	16	28
YGR147C	chrVII	786054	786920	-	867	1709	1998	1998	2809	2786	2103
YGR148C	chrVII	787312	787779	-	468	17779	18272	17234	6793	4703	6849
YGR149W	chrVII	789031	790329	+	1299	1223	1090	1341	1970	1941	1619
YGR150C	chrVII	790459	793053	-	2595	957	857	1108	1715	1045	1014
tA(UGC)G	chrVII	794417	794489	+	73	0	0	2	0	0	0
YGR151C	chrVII	794655	794990	-	336	3	2	6	0	1	1
YGR152C	chrVII	794674	795492	-	819	952	821	861	381	212	192
YGR153W	chrVII	796092	796745	+	654	285	337	176	429	342	184
YGR154C	chrVII	796798	797868	-	1071	427	430	495	490	483	506
YGR155W	chrVII	798543	800066	+	1524	14104	13380	15299	6404	2198	3286
YGR156W	chrVII	800546	801823	+	1278	485	415	531	233	329	438
YGR157W	chrVII	802440	805049	+	2610	3954	3465	3251	931	407	617
YGR158C	chrVII	805269	806021	-	753	1145	931	717	789	502	456
YGR159C	chrVII	806412	807656	-	1245	3378	2779	3387	2431	152	414
YGR160W	chrVII	807073	807684	+	612	13	9	10	2	1	0
YGR161C	chrVII	808629	809420	-	792	1161	1192	1612	2348	4046	2140
YGR161W-C	chrVII	810227	810505	+	279	485	669	655	1131	2235	1213
YGR161W-A	chrVII	811738	813054	+	1317	0	0	0	0	0	0
YGR161W-B	chrVII	811738	817051	+	5314	4	0	0	1	2	1
YGR161C-D	chrVII	817747	823015	-	5269	10	13	34	12	5	28
YGR161C-C	chrVII	821693	823015	-	1323	0	0	0	0	0	0
tV(AAC)G2	chrVII	823482	823555	+	74	1	2	10	5	0	9
YGR162W	chrVII	824059	826917	+	2859	3388	2773	3137	2051	685	837
YGR163W	chrVII	827552	828577	+	1026	1064	840	917	1537	2113	1492
YGR164W	chrVII	828625	828960	+	336	42	49	27	8	6	7
tR(UCU)G2	chrVII	828723	828794	-	72	0	0	0	0	0	0
YGR165W	chrVII	829116	830153	+	1038	1879	1992	1732	5210	4207	2562
YGR166W	chrVII	830515	832197	+	1683	440	390	473	547	409	512
YGR167W	chrVII	832456	833157	+	702	2736	2081	2941	4007	5174	6400
YGR168C	chrVII	833352	834482	-	1131	548	681	671	775	716	651
